,J,Q,Delta1,Delta2,Delta3,Delta4,lambda_2,lambda_3
112,-0.1,0.5,0.004999999999999999,-2.0,-1.5,4.5,(10.753323061113576+0j),(-6.553323061113574+0j)
113,-0.1,0.5,0.004999999999999999,-2.0,-1.5,6.0,(5.858989225842502+0j),(-1.6589892258425012+0j)
114,-0.1,0.5,0.004999999999999999,-2.0,0.0,3.0,(8.771206787381127+0j),(-4.571206787381126+0j)
115,-0.1,0.5,0.004999999999999999,-2.0,0.0,4.5,(2.1000000000000005+4.03050865276332j),(2.1000000000000005-4.03050865276332j)
116,-0.1,0.5,0.004999999999999999,-2.0,0.0,6.0,(2.1000000000000005+8.7746794813258j),(2.1000000000000005-8.7746794813258j)
117,-0.1,0.5,0.004999999999999999,-1.3333333333333335,-3.0,3.0,(15.243629635682833+0j),(-11.04362963568283+0j)
118,-0.1,0.5,0.004999999999999999,-1.3333333333333335,-3.0,4.5,(12.683241469417581+0j),(-8.483241469417582+0j)
119,-0.1,0.5,0.004999999999999999,-1.3333333333333335,-3.0,6.0,(9.259259738269037+0j),(-5.059259738269035+0j)
120,-0.1,0.5,0.004999999999999999,-1.3333333333333335,-1.5,3.0,(11.134932207825361+0j),(-6.9349322078253595+0j)
121,-0.1,0.5,0.004999999999999999,-1.3333333333333335,-1.5,4.5,(6.669463863518348+0j),(-2.469463863518347+0j)
122,-0.1,0.5,0.004999999999999999,-1.3333333333333335,-1.5,6.0,(2.1000000000000005+6.314269553954754j),(2.1000000000000005-6.314269553954754j)
123,-0.1,0.5,0.004999999999999999,-1.3333333333333335,0.0,3.0,(2.1000000000000005+3.081395787626117j),(2.1000000000000005-3.081395787626117j)
124,-0.1,0.5,0.004999999999999999,-1.3333333333333335,0.0,4.5,(2.1000000000000005+8.381229026819394j),(2.1000000000000005-8.381229026819394j)
125,-0.1,0.5,0.004999999999999999,-1.3333333333333335,0.0,6.0,(2.1000000000000005+11.445304714161173j),(2.1000000000000005-11.445304714161173j)
126,-0.1,0.5,0.004999999999999999,-0.6666666666666667,-3.0,3.0,(12.997476772170703+0j),(-8.7974767721707+0j)
127,-0.1,0.5,0.004999999999999999,-0.6666666666666667,-3.0,4.5,(9.716101364871662+0j),(-5.516101364871662+0j)
128,-0.1,0.5,0.004999999999999999,-0.6666666666666667,-3.0,6.0,(2.1000000000000005+1.6568041525780894j),(2.1000000000000005-1.6568041525780894j)
129,-0.1,0.5,0.004999999999999999,-0.6666666666666667,-1.5,3.0,(7.3564246403805695+0j),(-3.1564246403805685+0j)
130,-0.1,0.5,0.004999999999999999,-0.6666666666666667,-1.5,4.5,(2.1000000000000005+5.754997827975263j),(2.1000000000000005-5.754997827975263j)
131,-0.1,0.5,0.004999999999999999,-0.6666666666666667,-1.5,6.0,(2.1000000000000005+9.688653157173086j),(2.1000000000000005-9.688653157173086j)
132,-0.1,0.5,0.004999999999999999,-0.6666666666666667,0.0,3.0,(2.1000000000000005+7.968374991176055j),(2.1000000000000005-7.968374991176055j)
133,-0.1,0.5,0.004999999999999999,-0.6666666666666667,0.0,4.5,(2.1000000000000005+11.14652412189558j),(2.1000000000000005-11.14652412189558j)
134,-0.1,0.5,0.004999999999999999,-0.6666666666666667,0.0,6.0,(2.1000000000000005+13.601286703837987j),(2.1000000000000005-13.601286703837987j)
135,-0.1,0.5,0.004999999999999999,0.0,-3.0,3.0,(10.147049148600995+0j),(-5.947049148600995+0j)
136,-0.1,0.5,0.004999999999999999,0.0,-3.0,4.5,(4.101249609618954+0j),(0.09875039038104783+0j)
137,-0.1,0.5,0.004999999999999999,0.0,-3.0,6.0,(2.1000000000000005+7.532927717693831j),(2.1000000000000005-7.532927717693831j)
138,-0.1,0.5,0.004999999999999999,0.0,-1.5,3.0,(2.1000000000000005+5.135172830587106j),(2.1000000000000005-5.135172830587106j)
139,-0.1,0.5,0.004999999999999999,0.0,-1.5,4.5,(2.1000000000000005+9.333809511662427j),(2.1000000000000005-9.333809511662427j)
140,-0.1,0.5,0.004999999999999999,0.0,-1.5,6.0,(2.1000000000000005+12.160180919706747j),(2.1000000000000005-12.160180919706747j)
141,-0.1,0.5,0.004999999999999999,0.0,0.0,3.0,(2.1000000000000005+10.839511059083799j),(2.1000000000000005-10.839511059083799j)
142,-0.1,0.5,0.004999999999999999,0.0,0.0,4.5,(2.1000000000000005+13.350842670033979j),(2.1000000000000005-13.350842670033979j)
143,-0.1,0.5,0.004999999999999999,0.0,0.0,6.0,(2.1000000000000005+15.459463121337688j),(2.1000000000000005-15.459463121337688j)
144,-0.1,0.5,0.01,-2.0,-3.0,3.0,(17.1449327017438+0j),(-12.944932701743799+0j)
145,-0.1,0.5,0.01,-2.0,-3.0,4.5,(14.96856635371633+0j),(-10.76856635371633+0j)
146,-0.1,0.5,0.01,-2.0,-3.0,6.0,(12.339628899525607+0j),(-8.139628899525608+0j)
147,-0.1,0.5,0.01,-2.0,-1.5,3.0,(13.728628465988585+0j),(-9.528628465988586+0j)
148,-0.1,0.5,0.01,-2.0,-1.5,4.5,(10.729889918185517+0j),(-6.529889918185515+0j)
149,-0.1,0.5,0.01,-2.0,-1.5,6.0,(5.804726710568543+0j),(-1.6047267105685425+0j)
150,-0.1,0.5,0.01,-2.0,0.0,3.0,(8.740783086353598+0j),(-4.5407830863535965+0j)
151,-0.1,0.5,0.01,-2.0,0.0,4.5,(2.1000000000000005+4.080441152620633j),(2.1000000000000005-4.080441152620633j)
152,-0.1,0.5,0.01,-2.0,0.0,6.0,(2.1000000000000005+8.79772697916911j),(2.1000000000000005-8.79772697916911j)
153,-0.1,0.5,0.01,-1.3333333333333335,-3.0,3.0,(15.228213892224638+0j),(-11.028213892224638+0j)
154,-0.1,0.5,0.01,-1.3333333333333335,-3.0,4.5,(12.664090116995407+0j),(-8.464090116995404+0j)
155,-0.1,0.5,0.01,-1.3333333333333335,-3.0,6.0,(9.230918594402828+0j),(-5.030918594402827+0j)
156,-0.1,0.5,0.01,-1.3333333333333335,-1.5,3.0,(11.11249133147988+0j),(-6.91249133147988+0j)
157,-0.1,0.5,0.01,-1.3333333333333335,-1.5,4.5,(6.6249309386995066+0j),(-2.4249309386995055+0j)
158,-0.1,0.5,0.01,-1.3333333333333335,-1.5,6.0,(2.1000000000000005+6.346258740391854j),(2.1000000000000005-6.346258740391854j)
159,-0.1,0.5,0.01,-1.3333333333333335,0.0,3.0,(2.1000000000000005+3.1464265445104522j),(2.1000000000000005-3.1464265445104522j)
160,-0.1,0.5,0.01,-1.3333333333333335,0.0,4.5,(2.1000000000000005+8.405355435673139j),(2.1000000000000005-8.405355435673139j)
161,-0.1,0.5,0.01,-1.3333333333333335,0.0,6.0,(2.1000000000000005+11.46298390472568j),(2.1000000000000005-11.46298390472568j)
162,-0.1,0.5,0.01,-0.6666666666666667,-3.0,3.0,(12.978878618681247+0j),(-8.778878618681247+0j)
163,-0.1,0.5,0.01,-0.6666666666666667,-3.0,4.5,(9.689466384404112+0j),(-5.4894663844041105+0j)
164,-0.1,0.5,0.01,-0.6666666666666667,-3.0,6.0,(2.1000000000000005+1.7748239349298829j),(2.1000000000000005-1.7748239349298829j)
165,-0.1,0.5,0.01,-0.6666666666666667,-1.5,3.0,(7.317758139277827+0j),(-3.117758139277826+0j)
166,-0.1,0.5,0.01,-0.6666666666666667,-1.5,4.5,(2.1000000000000005+5.790077719685634j),(2.1000000000000005-5.790077719685634j)
167,-0.1,0.5,0.01,-0.6666666666666667,-1.5,6.0,(2.1000000000000005+9.709531399609354j),(2.1000000000000005-9.709531399609354j)
168,-0.1,0.5,0.01,-0.6666666666666667,0.0,3.0,(2.1000000000000005+7.993747556684536j),(2.1000000000000005-7.993747556684536j)
169,-0.1,0.5,0.01,-0.6666666666666667,0.0,4.5,(2.1000000000000005+11.164676439557038j),(2.1000000000000005-11.164676439557038j)
170,-0.1,0.5,0.01,-0.6666666666666667,0.0,6.0,(2.1000000000000005+13.61616686149226j),(2.1000000000000005-13.61616686149226j)
171,-0.1,0.5,0.01,0.0,-3.0,3.0,(10.121845174272565+0j),(-5.921845174272563+0j)
172,-0.1,0.5,0.01,0.0,-3.0,4.5,(3.997366596101033+0j),(0.2026334038989679+0j)
173,-0.1,0.5,0.01,0.0,-3.0,6.0,(2.1000000000000005+7.55976190101249j),(2.1000000000000005-7.55976190101249j)
174,-0.1,0.5,0.01,0.0,-1.5,3.0,(2.1000000000000005+5.174456493198102j),(2.1000000000000005-5.174456493198102j)
175,-0.1,0.5,0.01,0.0,-1.5,4.5,(2.1000000000000005+9.355479677707606j),(2.1000000000000005-9.355479677707606j)
176,-0.1,0.5,0.01,0.0,-1.5,6.0,(2.1000000000000005+12.176822245561443j),(2.1000000000000005-12.176822245561443j)
177,-0.1,0.5,0.01,0.0,0.0,3.0,(2.1000000000000005+10.858176642512316j),(2.1000000000000005-10.858176642512316j)
178,-0.1,0.5,0.01,0.0,0.0,4.5,(2.1000000000000005+13.366001645967279j),(2.1000000000000005-13.366001645967279j)
179,-0.1,0.5,0.01,0.0,0.0,6.0,(2.1000000000000005+15.472556349873152j),(2.1000000000000005-15.472556349873152j)
180,-0.1,0.75,-0.01,-2.0,-3.0,3.0,(21.33863300757099+0j),(-17.138633007570988+0j)
181,-0.1,0.75,-0.01,-2.0,-3.0,4.5,(10.010633666148369+0j),(-5.810633666148368+0j)
182,-0.1,0.75,-0.01,-2.0,-3.0,6.0,(2.1000000000000005+15.651477566031906j),(2.1000000000000005-15.651477566031906j)
183,-0.1,0.75,-0.01,-2.0,-1.5,3.0,(10.010633666148369+0j),(-5.810633666148368+0j)
184,-0.1,0.75,-0.01,-2.0,-1.5,4.5,(2.1000000000000005+15.651477566031906j),(2.1000000000000005-15.651477566031906j)
185,-0.1,0.75,-0.01,-2.0,-1.5,6.0,(2.1000000000000005+23.50565091632223j),(2.1000000000000005-23.50565091632223j)
186,-0.1,0.75,-0.01,-2.0,0.0,3.0,(2.1000000000000005+15.651477566031906j),(2.1000000000000005-15.651477566031906j)
